Test Date Time,22--10--19--09:47:43
Frame Grabbed,1005
FPS,999.916673610532
LED Left,2.69,LED Right,2.69
Time To Test,0.000

Frame No.,X(um),Y(um),Z(um),TX(min),TY(min),TZ(min),,N1 X,N1 Y,N2 X,N2 Y,W1 X,W1 Y, W2 X, W2 Y,S1 X,S1 Y,S2 X,S2 Y,E1 X,E1 Y,E2 X,E2 Y,tN1 X,tN1 Y,tN2 X,tN2 Y,tS1 X,tS1 Y,tS2 X,tS2 Y
73,-0.15,-0.04,0.01,0.19,-0.14,0.03,,587.4534,54.6892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3546,51.7925,0.0000,0.0000,421.3544,221.5088,0.0000,0.0000,590.1527,282.6785,0.0000,0.0000,260.6628,277.1134,0.0000,0.0000,
74,-0.10,0.00,0.14,-0.02,0.15,0.13,,587.4618,54.6867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3546,51.7750,0.0000,0.0000,421.3614,221.5110,0.0000,0.0000,590.1444,282.6757,0.0000,0.0000,260.6588,277.1205,0.0000,0.0000,
75,0.00,0.12,0.17,0.13,-0.17,-0.07,,587.4699,54.6883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3499,51.7877,0.0000,0.0000,421.3702,221.5096,0.0000,0.0000,590.1495,282.6930,0.0000,0.0000,260.6521,277.1183,0.0000,0.0000,
76,0.02,0.13,0.28,-0.16,0.02,-0.02,,587.4594,54.6821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3680,51.7710,0.0000,0.0000,421.3630,221.5149,0.0000,0.0000,590.1426,282.6915,0.0000,0.0000,260.6537,277.1218,0.0000,0.0000,
77,0.03,-0.03,-0.04,0.30,-0.06,-0.01,,587.4697,54.6978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3546,51.7936,0.0000,0.0000,421.3631,221.5073,0.0000,0.0000,590.1409,282.6806,0.0000,0.0000,260.6535,277.1124,0.0000,0.0000,
78,0.01,0.01,0.20,-0.04,-0.07,0.00,,587.4666,54.6794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3491,51.7761,0.0000,0.0000,421.3642,221.5094,0.0000,0.0000,590.1376,282.6822,0.0000,0.0000,260.6589,277.1151,0.0000,0.0000,
79,-0.15,-0.05,0.07,0.06,0.32,0.05,,587.4754,54.6992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3519,51.7696,0.0000,0.0000,421.3644,221.5100,0.0000,0.0000,590.1506,282.6767,0.0000,0.0000,260.6632,277.1138,0.0000,0.0000,
80,-0.09,0.03,0.12,0.03,0.18,0.00,,587.4728,54.6954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3535,51.7732,0.0000,0.0000,421.3648,221.5120,0.0000,0.0000,590.1405,282.6836,0.0000,0.0000,260.6684,277.1164,0.0000,0.0000,
81,0.08,-0.08,-0.03,0.33,-0.05,-0.07,,587.4700,54.6982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3494,51.7895,0.0000,0.0000,421.3693,221.5041,0.0000,0.0000,590.1366,282.6799,0.0000,0.0000,260.6552,277.1059,0.0000,0.0000,
82,-0.10,0.07,0.24,-0.07,0.09,0.04,,587.4785,54.6841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3636,51.7716,0.0000,0.0000,421.3628,221.5108,0.0000,0.0000,590.1520,282.6842,0.0000,0.0000,260.6563,277.1207,0.0000,0.0000,
83,-0.14,0.03,0.19,0.27,-0.07,-0.12,,587.4695,54.6914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3521,51.7811,0.0000,0.0000,421.3643,221.4998,0.0000,0.0000,590.1679,282.6896,0.0000,0.0000,260.6547,277.1104,0.0000,0.0000,
84,-0.03,0.05,0.31,0.14,-0.07,-0.03,,587.4652,54.6810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3575,51.7757,0.0000,0.0000,421.3796,221.4994,0.0000,0.0000,590.1501,282.6866,0.0000,0.0000,260.6526,277.1162,0.0000,0.0000,
85,-0.19,0.09,0.07,0.05,0.16,0.07,,587.4668,54.6978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3515,51.7812,0.0000,0.0000,421.3553,221.5157,0.0000,0.0000,590.1566,282.6843,0.0000,0.0000,260.6613,277.1232,0.0000,0.0000,
